"Var1","Freq","yr","simpleDate","mth"
"2015-03-29",1,2015,"03-29",3
"2015-03-30",9,2015,"03-30",3
"2015-03-31",9,2015,"03-31",3
"2015-04-01",4,2015,"04-01",4
"2015-04-02",6,2015,"04-02",4
"2015-04-04",8,2015,"04-04",4
"2015-04-05",12,2015,"04-05",4
"2015-04-06",13,2015,"04-06",4
"2015-04-07",5,2015,"04-07",4
"2015-04-08",7,2015,"04-08",4
"2015-04-11",9,2015,"04-11",4
"2015-04-12",5,2015,"04-12",4
"2015-04-13",5,2015,"04-13",4
"2015-04-15",2,2015,"04-15",4
"2015-04-16",1,2015,"04-16",4
"2015-04-18",8,2015,"04-18",4
"2015-04-19",3,2015,"04-19",4
"2015-04-20",4,2015,"04-20",4
"2015-04-21",2,2015,"04-21",4
"2015-04-22",2,2015,"04-22",4
"2015-04-23",6,2015,"04-23",4
"2015-04-25",6,2015,"04-25",4
"2015-04-26",4,2015,"04-26",4
"2015-04-28",9,2015,"04-28",4
"2015-04-29",6,2015,"04-29",4
"2015-04-30",3,2015,"04-30",4
"2015-05-02",2,2015,"05-02",5
"2015-05-03",3,2015,"05-03",5
"2015-05-04",6,2015,"05-04",5
"2015-05-05",7,2015,"05-05",5
"2015-05-06",3,2015,"05-06",5
"2015-05-07",4,2015,"05-07",5
"2015-05-08",1,2015,"05-08",5
"2015-05-09",6,2015,"05-09",5
"2015-05-10",8,2015,"05-10",5
"2015-05-11",8,2015,"05-11",5
"2015-05-12",2,2015,"05-12",5
"2015-05-13",6,2015,"05-13",5
"2015-05-14",1,2015,"05-14",5
"2015-05-16",2,2015,"05-16",5
"2015-05-17",1,2015,"05-17",5
"2015-05-18",3,2015,"05-18",5
"2015-05-19",2,2015,"05-19",5
"2015-05-20",7,2015,"05-20",5
"2015-05-21",10,2015,"05-21",5
"2015-05-22",2,2015,"05-22",5
"2015-05-23",7,2015,"05-23",5
"2015-05-24",1,2015,"05-24",5
"2015-05-25",3,2015,"05-25",5
"2015-05-26",8,2015,"05-26",5
"2015-05-27",5,2015,"05-27",5
"2015-05-28",3,2015,"05-28",5
"2015-05-30",8,2015,"05-30",5
"2015-05-31",2,2015,"05-31",5
"2015-06-01",11,2015,"06-01",6
"2015-06-02",5,2015,"06-02",6
"2015-06-03",2,2015,"06-03",6
"2015-06-04",5,2015,"06-04",6
"2015-06-06",9,2015,"06-06",6
"2015-06-07",2,2015,"06-07",6
"2015-06-08",4,2015,"06-08",6
"2015-06-09",16,2015,"06-09",6
"2015-06-10",1,2015,"06-10",6
"2015-06-13",1,2015,"06-13",6
"2015-06-14",1,2015,"06-14",6
"2015-06-15",4,2015,"06-15",6
"2015-06-16",4,2015,"06-16",6
"2015-06-17",4,2015,"06-17",6
"2015-06-18",1,2015,"06-18",6
"2015-06-20",9,2015,"06-20",6
"2015-06-21",18,2015,"06-21",6
"2015-06-22",7,2015,"06-22",6
"2015-06-23",3,2015,"06-23",6
"2015-06-24",1,2015,"06-24",6
"2015-06-25",4,2015,"06-25",6
"2015-06-27",3,2015,"06-27",6
"2015-06-28",6,2015,"06-28",6
"2015-06-29",2,2015,"06-29",6
"2015-06-30",8,2015,"06-30",6
"2015-07-01",3,2015,"07-01",7
"2015-07-02",2,2015,"07-02",7
"2015-07-04",4,2015,"07-04",7
"2015-07-05",10,2015,"07-05",7
"2015-07-06",2,2015,"07-06",7
"2015-07-07",2,2015,"07-07",7
"2015-07-08",3,2015,"07-08",7
"2015-07-09",9,2015,"07-09",7
"2015-07-11",9,2015,"07-11",7
"2015-07-12",12,2015,"07-12",7
"2015-07-13",1,2015,"07-13",7
"2015-07-14",9,2015,"07-14",7
"2015-07-15",2,2015,"07-15",7
"2015-07-18",2,2015,"07-18",7
"2015-07-19",5,2015,"07-19",7
"2015-07-20",15,2015,"07-20",7
"2015-07-21",8,2015,"07-21",7
"2015-07-22",8,2015,"07-22",7
"2015-07-23",9,2015,"07-23",7
"2015-07-25",5,2015,"07-25",7
"2015-07-26",15,2015,"07-26",7
"2015-07-27",3,2015,"07-27",7
"2015-07-28",3,2015,"07-28",7
"2015-07-30",1,2015,"07-30",7
"2015-08-01",6,2015,"08-01",8
"2015-08-02",3,2015,"08-02",8
"2015-08-03",6,2015,"08-03",8
"2015-08-04",9,2015,"08-04",8
"2015-08-05",12,2015,"08-05",8
"2015-08-06",2,2015,"08-06",8
"2015-08-08",13,2015,"08-08",8
"2015-08-09",9,2015,"08-09",8
"2015-08-11",4,2015,"08-11",8
"2015-08-12",9,2015,"08-12",8
"2015-08-15",4,2015,"08-15",8
"2015-08-16",1,2015,"08-16",8
"2015-08-17",5,2015,"08-17",8
"2015-08-19",7,2015,"08-19",8
"2015-08-20",4,2015,"08-20",8
"2015-08-22",3,2015,"08-22",8
"2015-08-23",10,2015,"08-23",8
"2015-08-24",4,2015,"08-24",8
"2015-08-25",14,2015,"08-25",8
"2015-08-26",6,2015,"08-26",8
"2015-08-27",7,2015,"08-27",8
"2015-08-29",5,2015,"08-29",8
"2015-08-30",2,2015,"08-30",8
"2015-08-31",1,2015,"08-31",8
"2015-09-01",5,2015,"09-01",9
"2015-09-02",9,2015,"09-02",9
"2015-09-03",2,2015,"09-03",9
"2015-09-05",2,2015,"09-05",9
"2015-09-06",2,2015,"09-06",9
"2015-09-07",25,2015,"09-07",9
"2015-09-08",27,2015,"09-08",9
"2015-09-09",13,2015,"09-09",9
"2015-09-10",5,2015,"09-10",9
"2015-09-11",1,2015,"09-11",9
"2015-09-12",11,2015,"09-12",9
"2015-09-13",15,2015,"09-13",9
"2015-09-14",19,2015,"09-14",9
"2015-09-15",3,2015,"09-15",9
"2015-09-16",1,2015,"09-16",9
"2015-09-17",14,2015,"09-17",9
"2015-09-19",9,2015,"09-19",9
"2015-09-20",18,2015,"09-20",9
"2015-09-21",16,2015,"09-21",9
"2015-09-22",8,2015,"09-22",9
"2015-09-23",12,2015,"09-23",9
"2015-09-24",1,2015,"09-24",9
"2015-09-25",5,2015,"09-25",9
"2015-09-26",12,2015,"09-26",9
"2015-09-27",3,2015,"09-27",9
"2015-09-28",4,2015,"09-28",9
"2015-09-29",19,2015,"09-29",9
"2015-09-30",6,2015,"09-30",9
"2015-10-01",1,2015,"10-01",10
"2015-10-02",7,2015,"10-02",10
"2015-10-03",13,2015,"10-03",10
"2015-10-04",4,2015,"10-04",10
"2015-10-05",2,2015,"10-05",10
"2015-10-06",4,2015,"10-06",10
"2015-10-07",2,2015,"10-07",10
"2015-10-08",2,2015,"10-08",10
"2015-10-09",3,2015,"10-09",10
"2015-10-10",10,2015,"10-10",10
"2015-10-11",9,2015,"10-11",10
"2015-10-12",3,2015,"10-12",10
"2015-10-13",11,2015,"10-13",10
"2015-10-14",10,2015,"10-14",10
"2015-10-15",3,2015,"10-15",10
"2015-10-16",2,2015,"10-16",10
"2015-10-17",3,2015,"10-17",10
"2015-10-18",9,2015,"10-18",10
"2015-10-19",7,2015,"10-19",10
"2015-10-20",8,2015,"10-20",10
"2015-10-21",6,2015,"10-21",10
"2015-10-22",2,2015,"10-22",10
"2015-10-24",3,2015,"10-24",10
"2015-10-25",3,2015,"10-25",10
"2015-10-26",2,2015,"10-26",10
"2015-10-27",2,2015,"10-27",10
"2015-10-28",6,2015,"10-28",10
"2015-10-29",3,2015,"10-29",10
"2015-10-31",19,2015,"10-31",10
"2015-11-01",17,2015,"11-01",11
"2015-11-02",11,2015,"11-02",11
"2015-11-03",14,2015,"11-03",11
"2015-11-04",15,2015,"11-04",11
"2015-11-05",8,2015,"11-05",11
"2015-11-07",12,2015,"11-07",11
"2015-11-08",1,2015,"11-08",11
"2015-11-09",7,2015,"11-09",11
"2015-11-10",12,2015,"11-10",11
"2015-11-11",23,2015,"11-11",11
"2015-11-12",9,2015,"11-12",11
"2015-11-14",8,2015,"11-14",11
"2015-11-15",8,2015,"11-15",11
"2015-11-16",10,2015,"11-16",11
"2015-11-17",13,2015,"11-17",11
"2015-11-18",20,2015,"11-18",11
"2015-11-19",13,2015,"11-19",11
"2015-11-20",4,2015,"11-20",11
"2015-11-21",9,2015,"11-21",11
"2015-11-22",8,2015,"11-22",11
"2015-11-23",12,2015,"11-23",11
"2015-11-24",18,2015,"11-24",11
"2015-11-25",16,2015,"11-25",11
"2015-11-26",14,2015,"11-26",11
"2015-11-27",2,2015,"11-27",11
"2015-11-28",13,2015,"11-28",11
"2015-11-29",5,2015,"11-29",11
"2015-11-30",4,2015,"11-30",11
"2015-12-01",12,2015,"12-01",12
"2015-12-02",14,2015,"12-02",12
"2015-12-03",2,2015,"12-03",12
"2015-12-04",1,2015,"12-04",12
"2015-12-05",16,2015,"12-05",12
"2015-12-06",11,2015,"12-06",12
"2015-12-07",4,2015,"12-07",12
"2015-12-08",13,2015,"12-08",12
"2015-12-09",8,2015,"12-09",12
"2015-12-10",5,2015,"12-10",12
"2015-12-12",9,2015,"12-12",12
"2015-12-13",6,2015,"12-13",12
"2015-12-14",9,2015,"12-14",12
"2015-12-15",5,2015,"12-15",12
"2015-12-16",13,2015,"12-16",12
"2015-12-17",2,2015,"12-17",12
"2015-12-19",12,2015,"12-19",12
"2015-12-20",24,2015,"12-20",12
"2015-12-21",4,2015,"12-21",12
"2015-12-22",6,2015,"12-22",12
"2015-12-23",9,2015,"12-23",12
"2015-12-24",11,2015,"12-24",12
"2015-12-26",15,2015,"12-26",12
"2015-12-27",16,2015,"12-27",12
"2015-12-28",4,2015,"12-28",12
"2015-12-29",16,2015,"12-29",12
"2015-12-30",13,2015,"12-30",12
"2015-12-31",14,2015,"12-31",12
"2016-01-02",8,2016,"01-02",1
"2016-01-03",4,2016,"01-03",1
"2016-01-04",3,2016,"01-04",1
"2016-01-05",6,2016,"01-05",1
"2016-01-06",2,2016,"01-06",1
"2016-01-09",4,2016,"01-09",1
"2016-01-10",1,2016,"01-10",1
"2016-01-12",5,2016,"01-12",1
"2016-01-13",4,2016,"01-13",1
"2016-01-17",3,2016,"01-17",1
"2016-01-19",2,2016,"01-19",1
"2016-01-23",2,2016,"01-23",1
"2016-01-24",1,2016,"01-24",1
"2016-01-26",1,2016,"01-26",1
"2016-01-27",4,2016,"01-27",1
"2016-01-28",1,2016,"01-28",1
"2016-01-30",3,2016,"01-30",1
"2016-01-31",3,2016,"01-31",1
"2016-02-03",6,2016,"02-03",2
"2016-02-06",9,2016,"02-06",2
"2016-02-07",2,2016,"02-07",2
"2016-02-08",4,2016,"02-08",2
"2016-02-09",5,2016,"02-09",2
"2016-02-10",1,2016,"02-10",2
"2016-02-14",7,2016,"02-14",2
"2016-02-15",8,2016,"02-15",2
"2016-02-16",3,2016,"02-16",2
"2016-02-18",3,2016,"02-18",2
"2016-02-20",2,2016,"02-20",2
"2016-02-21",2,2016,"02-21",2
"2016-02-22",1,2016,"02-22",2
"2016-02-23",2,2016,"02-23",2
"2016-02-25",2,2016,"02-25",2
"2016-02-27",5,2016,"02-27",2
"2016-02-28",2,2016,"02-28",2
"2016-03-01",7,2016,"03-01",3
"2016-03-02",3,2016,"03-02",3
"2016-03-05",16,2016,"03-05",3
"2016-03-06",2,2016,"03-06",3
"2016-03-07",4,2016,"03-07",3
"2016-03-08",8,2016,"03-08",3
"2016-03-09",3,2016,"03-09",3
"2016-03-10",2,2016,"03-10",3
"2016-03-12",4,2016,"03-12",3
"2016-03-13",3,2016,"03-13",3
"2016-03-14",3,2016,"03-14",3
"2016-03-15",1,2016,"03-15",3
"2016-03-16",10,2016,"03-16",3
"2016-03-17",2,2016,"03-17",3
"2016-03-19",11,2016,"03-19",3
"2016-03-20",4,2016,"03-20",3
"2016-03-21",3,2016,"03-21",3
"2016-03-22",10,2016,"03-22",3
"2016-03-23",6,2016,"03-23",3
"2016-03-24",3,2016,"03-24",3
"2016-03-26",3,2016,"03-26",3
"2016-03-27",1,2016,"03-27",3
"2016-03-28",5,2016,"03-28",3
"2016-03-29",8,2016,"03-29",3
"2016-03-30",3,2016,"03-30",3
"2016-03-31",3,2016,"03-31",3
"2016-04-02",6,2016,"04-02",4
"2016-04-04",9,2016,"04-04",4
"2016-04-05",13,2016,"04-05",4
"2016-04-06",6,2016,"04-06",4
"2016-04-07",5,2016,"04-07",4
"2016-04-09",3,2016,"04-09",4
"2016-04-10",3,2016,"04-10",4
"2016-04-11",7,2016,"04-11",4
"2016-04-13",15,2016,"04-13",4
"2016-04-14",1,2016,"04-14",4
"2016-04-16",14,2016,"04-16",4
"2016-04-17",8,2016,"04-17",4
"2016-04-18",18,2016,"04-18",4
"2016-04-19",2,2016,"04-19",4
"2016-04-20",5,2016,"04-20",4
"2016-04-21",4,2016,"04-21",4
"2016-04-22",2,2016,"04-22",4
"2016-04-24",1,2016,"04-24",4
"2016-04-25",7,2016,"04-25",4
"2016-04-26",10,2016,"04-26",4
"2016-04-27",5,2016,"04-27",4
"2016-04-28",5,2016,"04-28",4
"2016-04-29",1,2016,"04-29",4
"2016-04-30",9,2016,"04-30",4
"2016-05-01",7,2016,"05-01",5
"2016-05-02",2,2016,"05-02",5
"2016-05-03",13,2016,"05-03",5
"2016-05-04",4,2016,"05-04",5
"2016-05-07",3,2016,"05-07",5
"2016-05-08",11,2016,"05-08",5
"2016-05-09",1,2016,"05-09",5
"2016-05-10",3,2016,"05-10",5
"2016-05-11",1,2016,"05-11",5
"2016-05-12",8,2016,"05-12",5
"2016-05-13",2,2016,"05-13",5
"2016-05-14",12,2016,"05-14",5
"2016-05-15",2,2016,"05-15",5
"2016-05-16",1,2016,"05-16",5
"2016-05-17",2,2016,"05-17",5
"2016-05-18",1,2016,"05-18",5
"2016-05-20",2,2016,"05-20",5
"2016-05-21",3,2016,"05-21",5
"2016-05-22",4,2016,"05-22",5
"2016-05-23",6,2016,"05-23",5
"2016-05-24",2,2016,"05-24",5
"2016-05-25",8,2016,"05-25",5
"2016-05-26",8,2016,"05-26",5
"2016-05-28",9,2016,"05-28",5
"2016-05-29",7,2016,"05-29",5
"2016-05-30",4,2016,"05-30",5
"2016-05-31",17,2016,"05-31",5
"2016-06-01",7,2016,"06-01",6
"2016-06-04",6,2016,"06-04",6
"2016-06-05",2,2016,"06-05",6
"2016-06-07",4,2016,"06-07",6
"2016-06-08",2,2016,"06-08",6
"2016-06-09",7,2016,"06-09",6
"2016-06-11",13,2016,"06-11",6
"2016-06-12",5,2016,"06-12",6
"2016-06-13",10,2016,"06-13",6
"2016-06-14",1,2016,"06-14",6
"2016-06-15",6,2016,"06-15",6
"2016-06-16",6,2016,"06-16",6
"2016-06-18",14,2016,"06-18",6
"2016-06-19",6,2016,"06-19",6
"2016-06-20",4,2016,"06-20",6
"2016-06-21",1,2016,"06-21",6
"2016-06-22",3,2016,"06-22",6
"2016-06-23",7,2016,"06-23",6
"2016-06-25",10,2016,"06-25",6
"2016-06-26",7,2016,"06-26",6
"2016-06-28",4,2016,"06-28",6
"2016-06-29",4,2016,"06-29",6
"2016-07-02",13,2016,"07-02",7
"2016-07-03",5,2016,"07-03",7
"2016-07-04",3,2016,"07-04",7
"2016-07-05",7,2016,"07-05",7
"2016-07-06",7,2016,"07-06",7
"2016-07-08",1,2016,"07-08",7
"2016-07-09",14,2016,"07-09",7
"2016-07-10",2,2016,"07-10",7
"2016-07-11",11,2016,"07-11",7
"2016-07-12",8,2016,"07-12",7
"2016-07-13",5,2016,"07-13",7
"2016-07-14",4,2016,"07-14",7
"2016-07-16",7,2016,"07-16",7
"2016-07-17",4,2016,"07-17",7
"2016-07-18",2,2016,"07-18",7
"2016-07-19",1,2016,"07-19",7
"2016-07-20",10,2016,"07-20",7
"2016-07-23",3,2016,"07-23",7
"2016-07-24",4,2016,"07-24",7
"2016-07-25",8,2016,"07-25",7
"2016-07-26",6,2016,"07-26",7
"2016-07-27",1,2016,"07-27",7
"2016-07-30",5,2016,"07-30",7
"2016-07-31",5,2016,"07-31",7
"2016-08-01",2,2016,"08-01",8
"2016-08-02",7,2016,"08-02",8
"2016-08-05",4,2016,"08-05",8
"2016-08-06",5,2016,"08-06",8
"2016-08-07",8,2016,"08-07",8
"2016-08-08",6,2016,"08-08",8
"2016-08-09",17,2016,"08-09",8
"2016-08-10",7,2016,"08-10",8
"2016-08-11",3,2016,"08-11",8
"2016-08-13",6,2016,"08-13",8
"2016-08-15",3,2016,"08-15",8
"2016-08-16",13,2016,"08-16",8
"2016-08-17",5,2016,"08-17",8
"2016-08-21",16,2016,"08-21",8
"2016-08-22",2,2016,"08-22",8
"2016-08-23",11,2016,"08-23",8
"2016-08-24",14,2016,"08-24",8
"2016-08-25",5,2016,"08-25",8
"2016-08-27",5,2016,"08-27",8
"2016-08-28",10,2016,"08-28",8
"2016-08-29",2,2016,"08-29",8
"2016-08-31",7,2016,"08-31",8
"2016-09-01",7,2016,"09-01",9
"2016-09-03",14,2016,"09-03",9
"2016-09-04",7,2016,"09-04",9
"2016-09-05",9,2016,"09-05",9
"2016-09-06",9,2016,"09-06",9
"2016-09-07",14,2016,"09-07",9
"2016-09-08",3,2016,"09-08",9
"2016-09-10",9,2016,"09-10",9
"2016-09-11",13,2016,"09-11",9
"2016-09-12",9,2016,"09-12",9
"2016-09-13",8,2016,"09-13",9
"2016-09-14",7,2016,"09-14",9
"2016-09-15",14,2016,"09-15",9
"2016-09-16",1,2016,"09-16",9
"2016-09-17",23,2016,"09-17",9
"2016-09-18",14,2016,"09-18",9
"2016-09-19",6,2016,"09-19",9
"2016-09-20",7,2016,"09-20",9
"2016-09-21",20,2016,"09-21",9
"2016-09-22",11,2016,"09-22",9
"2016-09-24",18,2016,"09-24",9
"2016-09-25",21,2016,"09-25",9
"2016-09-26",20,2016,"09-26",9
"2016-09-27",10,2016,"09-27",9
"2016-09-28",11,2016,"09-28",9
"2016-10-01",6,2016,"10-01",10
"2016-10-02",15,2016,"10-02",10
"2016-10-03",6,2016,"10-03",10
"2016-10-04",4,2016,"10-04",10
"2016-10-05",7,2016,"10-05",10
"2016-10-08",3,2016,"10-08",10
"2016-10-09",12,2016,"10-09",10
"2016-10-10",3,2016,"10-10",10
"2016-10-11",3,2016,"10-11",10
"2016-10-12",11,2016,"10-12",10
"2016-10-13",2,2016,"10-13",10
"2016-10-15",8,2016,"10-15",10
"2016-10-16",1,2016,"10-16",10
"2016-10-17",1,2016,"10-17",10
"2016-10-18",5,2016,"10-18",10
"2016-10-19",6,2016,"10-19",10
"2016-10-20",5,2016,"10-20",10
"2016-10-22",2,2016,"10-22",10
"2016-10-23",15,2016,"10-23",10
"2016-10-24",5,2016,"10-24",10
"2016-10-25",6,2016,"10-25",10
"2016-10-26",8,2016,"10-26",10
"2016-10-28",4,2016,"10-28",10
"2016-10-29",2,2016,"10-29",10
"2016-10-30",7,2016,"10-30",10
"2016-10-31",17,2016,"10-31",10
"2016-11-01",12,2016,"11-01",11
"2016-11-02",11,2016,"11-02",11
"2016-11-03",5,2016,"11-03",11
"2016-11-05",8,2016,"11-05",11
"2016-11-06",2,2016,"11-06",11
"2016-11-07",13,2016,"11-07",11
"2016-11-08",26,2016,"11-08",11
"2016-11-09",13,2016,"11-09",11
"2016-11-10",8,2016,"11-10",11
"2016-11-11",2,2016,"11-11",11
"2016-11-12",11,2016,"11-12",11
"2016-11-13",18,2016,"11-13",11
"2016-11-14",13,2016,"11-14",11
"2016-11-15",8,2016,"11-15",11
"2016-11-16",12,2016,"11-16",11
"2016-11-17",11,2016,"11-17",11
"2016-11-19",4,2016,"11-19",11
"2016-11-20",25,2016,"11-20",11
"2016-11-21",21,2016,"11-21",11
"2016-11-22",14,2016,"11-22",11
"2016-11-23",10,2016,"11-23",11
"2016-11-24",10,2016,"11-24",11
"2016-11-25",1,2016,"11-25",11
"2016-11-26",6,2016,"11-26",11
"2016-11-27",17,2016,"11-27",11
"2016-11-28",13,2016,"11-28",11
"2016-11-29",10,2016,"11-29",11
"2016-11-30",15,2016,"11-30",11
"2016-12-01",14,2016,"12-01",12
"2016-12-03",12,2016,"12-03",12
"2016-12-04",16,2016,"12-04",12
"2016-12-05",12,2016,"12-05",12
"2016-12-06",24,2016,"12-06",12
"2016-12-07",9,2016,"12-07",12
"2016-12-08",6,2016,"12-08",12
"2016-12-09",1,2016,"12-09",12
"2016-12-10",20,2016,"12-10",12
"2016-12-11",18,2016,"12-11",12
"2016-12-12",14,2016,"12-12",12
"2016-12-13",9,2016,"12-13",12
"2016-12-14",8,2016,"12-14",12
"2016-12-15",9,2016,"12-15",12
"2016-12-16",1,2016,"12-16",12
"2016-12-17",12,2016,"12-17",12
"2016-12-18",7,2016,"12-18",12
"2016-12-19",14,2016,"12-19",12
"2016-12-20",11,2016,"12-20",12
"2016-12-21",11,2016,"12-21",12
"2016-12-22",3,2016,"12-22",12
"2016-12-23",1,2016,"12-23",12
"2016-12-24",19,2016,"12-24",12
"2016-12-25",16,2016,"12-25",12
"2016-12-26",4,2016,"12-26",12
"2016-12-27",22,2016,"12-27",12
"2016-12-28",2,2016,"12-28",12
"2016-12-30",5,2016,"12-30",12
"2016-12-31",11,2016,"12-31",12
"2017-01-02",2,2017,"01-02",1
"2017-01-03",6,2017,"01-03",1
"2017-01-04",3,2017,"01-04",1
"2017-01-05",3,2017,"01-05",1
"2017-01-07",3,2017,"01-07",1
"2017-01-08",5,2017,"01-08",1
"2017-01-09",3,2017,"01-09",1
"2017-01-10",3,2017,"01-10",1
"2017-01-11",4,2017,"01-11",1
"2017-01-14",2,2017,"01-14",1
"2017-01-15",8,2017,"01-15",1
"2017-01-16",2,2017,"01-16",1
"2017-01-17",4,2017,"01-17",1
"2017-01-21",2,2017,"01-21",1
"2017-01-22",11,2017,"01-22",1
"2017-01-23",1,2017,"01-23",1
"2017-01-24",1,2017,"01-24",1
"2017-01-25",6,2017,"01-25",1
"2017-01-28",1,2017,"01-28",1
"2017-01-30",10,2017,"01-30",1
"2017-01-31",6,2017,"01-31",1
"2017-02-01",2,2017,"02-01",2
"2017-02-02",5,2017,"02-02",2
"2017-02-03",1,2017,"02-03",2
"2017-02-04",3,2017,"02-04",2
"2017-02-05",15,2017,"02-05",2
"2017-02-06",1,2017,"02-06",2
"2017-02-07",4,2017,"02-07",2
"2017-02-08",2,2017,"02-08",2
"2017-02-09",2,2017,"02-09",2
"2017-02-11",1,2017,"02-11",2
"2017-02-12",2,2017,"02-12",2
"2017-02-13",1,2017,"02-13",2
"2017-02-14",5,2017,"02-14",2
"2017-02-15",2,2017,"02-15",2
"2017-02-16",9,2017,"02-16",2
"2017-02-19",5,2017,"02-19",2
"2017-02-20",1,2017,"02-20",2
"2017-02-21",11,2017,"02-21",2
"2017-02-22",4,2017,"02-22",2
"2017-02-23",1,2017,"02-23",2
"2017-02-25",1,2017,"02-25",2
"2017-02-27",3,2017,"02-27",2
"2017-02-28",2,2017,"02-28",2
"2017-03-01",5,2017,"03-01",3
"2017-03-03",15,2017,"03-03",3
"2017-03-04",4,2017,"03-04",3
"2017-03-05",2,2017,"03-05",3
"2017-03-06",7,2017,"03-06",3
"2017-03-07",1,2017,"03-07",3
"2017-03-08",13,2017,"03-08",3
"2017-03-09",5,2017,"03-09",3
"2017-03-10",7,2017,"03-10",3
"2017-03-11",6,2017,"03-11",3
"2017-03-12",7,2017,"03-12",3
"2017-03-13",20,2017,"03-13",3
"2017-03-14",7,2017,"03-14",3
"2017-03-15",5,2017,"03-15",3
"2017-03-17",7,2017,"03-17",3
"2017-03-18",2,2017,"03-18",3
"2017-03-19",4,2017,"03-19",3
"2017-03-20",7,2017,"03-20",3
"2017-03-21",5,2017,"03-21",3
"2017-03-22",2,2017,"03-22",3
"2017-03-24",4,2017,"03-24",3
"2017-03-25",2,2017,"03-25",3
"2017-03-26",5,2017,"03-26",3
"2017-03-27",3,2017,"03-27",3
"2017-03-28",3,2017,"03-28",3
"2017-03-29",9,2017,"03-29",3
"2017-03-30",1,2017,"03-30",3
"2017-03-31",3,2017,"03-31",3
"2017-04-01",17,2017,"04-01",4
"2017-04-02",1,2017,"04-02",4
"2017-04-03",4,2017,"04-03",4
"2017-04-04",6,2017,"04-04",4
"2017-04-05",3,2017,"04-05",4
"2017-04-07",4,2017,"04-07",4
"2017-04-08",18,2017,"04-08",4
"2017-04-09",4,2017,"04-09",4
"2017-04-10",8,2017,"04-10",4
"2017-04-12",11,2017,"04-12",4
"2017-04-13",1,2017,"04-13",4
"2017-04-14",5,2017,"04-14",4
"2017-04-15",8,2017,"04-15",4
"2017-04-16",7,2017,"04-16",4
"2017-04-17",5,2017,"04-17",4
"2017-04-18",9,2017,"04-18",4
"2017-04-19",15,2017,"04-19",4
"2017-04-21",6,2017,"04-21",4
"2017-04-22",10,2017,"04-22",4
"2017-04-23",8,2017,"04-23",4
"2017-04-24",5,2017,"04-24",4
"2017-04-25",3,2017,"04-25",4
"2017-04-26",1,2017,"04-26",4
"2017-04-28",5,2017,"04-28",4
"2017-04-30",3,2017,"04-30",4
"2017-05-01",6,2017,"05-01",5
"2017-05-02",8,2017,"05-02",5
"2017-05-03",9,2017,"05-03",5
"2017-05-05",12,2017,"05-05",5
"2017-05-06",7,2017,"05-06",5
"2017-05-07",6,2017,"05-07",5
"2017-05-08",7,2017,"05-08",5
"2017-05-09",12,2017,"05-09",5
"2017-05-10",3,2017,"05-10",5
"2017-05-11",1,2017,"05-11",5
